id_orden,fecha,id_cliente,producto,categoria,marca,region,canal,metodo_pago,unidades,precio_unitario,descuento_pct,venta
ORD-01104,01/03/2026,C-0378,Bicicleta Urban 21,Deportes,Move,Norte,App,Tarjeta crédito,1,7499,10,6749.1
ORD-01127,01/03/2026,C-0261,Jeans Classic,Moda,Urban Co.,Occidente,App,Tarjeta crédito,1,899,0,899
ORD-01155,01/03/2026,C-0790,Mochila Training,Deportes,Move,Centro,App,Tarjeta crédito,1,899,0,899
ORD-01172,01/03/2026,C-0608,Tenis Runner Pro,Deportes,Move,Occidente,Marketplace,Tarjeta débito,1,1899,5,1804.05
ORD-01222,01/03/2026,C-0761,Audífonos AirBeat,Electrónica,SoundPro,Occidente,App,Tarjeta crédito,2,1499,0,2998
ORD-01264,01/03/2026,C-0427,Tenis Casual Street,Moda,Urban Co.,Centro,Web,Tarjeta crédito,2,1399,0,2798
ORD-01300,01/03/2026,C-0593,Tenis Runner Pro,Deportes,Move,Sureste,Marketplace,PayPal,1,1899,5,1804.05
ORD-01312,01/03/2026,C-0326,Freidora AirCook,Hogar,KitchenLab,Centro,App,PayPal,2,2499,5,4748.1
ORD-01318,01/03/2026,C-0246,Mochila Training,Deportes,Move,Sur,Web,Tarjeta débito,1,899,5,854.05
ORD-01326,01/03/2026,C-0031,Smartphone X1,Electrónica,Nova,Occidente,App,Tarjeta crédito,2,8999,0,17998
ORD-01335,01/03/2026,C-0068,Aspiradora CleanPro,Hogar,CleanPro,Occidente,Web,Tarjeta débito,1,3299,0,3299
ORD-01351,01/03/2026,C-0834,Smartphone X1,Electrónica,Nova,Occidente,App,Tarjeta crédito,1,8999,0,8999
ORD-01362,01/03/2026,C-0929,Cafetera HomeBrew,Hogar,HomePlus,Centro,App,Tarjeta débito,1,1799,0,1799
ORD-01587,01/03/2026,C-0551,Auto Control Remoto,Juguetes,FunTech,Sur,Web,PayPal,1,999,20,799.2
ORD-01634,01/03/2026,C-0025,Sudadera Essential,Moda,BasicLab,Sur,Web,Tarjeta débito,2,999,0,1998
ORD-01730,01/03/2026,C-0588,Tenis Casual Street,Moda,Urban Co.,Occidente,App,Tarjeta crédito,3,1399,0,4197
ORD-01763,01/03/2026,C-0206,Smartphone X1,Electrónica,Nova,Sureste,Web,Transferencia,1,8999,15,7649.15
ORD-01769,01/03/2026,C-0631,Mochila Training,Deportes,Move,Occidente,Marketplace,Transferencia,1,899,5,854.05
ORD-01817,01/03/2026,C-0311,Tablet Go 10,Electrónica,Nova,Norte,Web,Tarjeta crédito,1,6299,0,6299
ORD-01835,01/03/2026,C-0738,Aspiradora CleanPro,Hogar,CleanPro,Centro,Marketplace,Tarjeta débito,1,3299,0,3299
ORD-01836,01/03/2026,C-0036,Licuadora MixPlus,Hogar,HomePlus,Occidente,App,Tarjeta crédito,2,1199,0,2398
ORD-01862,01/03/2026,C-0666,Sudadera Essential,Moda,BasicLab,Occidente,Marketplace,Tarjeta crédito,2,999,5,1898.1
ORD-01871,01/03/2026,C-0807,Audífonos AirBeat,Electrónica,SoundPro,Centro,App,Transferencia,1,1499,10,1349.1
ORD-01881,01/03/2026,C-0095,Tenis Runner Pro,Deportes,Move,Norte,Marketplace,PayPal,1,1899,0,1899
ORD-01901,01/03/2026,C-0231,Sudadera Essential,Moda,BasicLab,Centro,App,Tarjeta crédito,2,999,0,1998
ORD-01953,01/03/2026,C-0628,Cafetera HomeBrew,Hogar,HomePlus,Norte,App,Tarjeta crédito,1,1799,0,1799
ORD-01988,01/03/2026,C-0697,Licuadora MixPlus,Hogar,HomePlus,Centro,App,Transferencia,1,1199,0,1199
ORD-01999,01/03/2026,C-0264,Muñeca Adventure,Juguetes,PlayBox,Centro,Marketplace,PayPal,1,649,0,649
ORD-02036,01/03/2026,C-0230,Freidora AirCook,Hogar,KitchenLab,Norte,App,Tarjeta crédito,1,2499,0,2499
ORD-02038,01/03/2026,C-0658,Set Bloques Creativos,Juguetes,PlayBox,Sur,App,Tarjeta crédito,1,799,20,639.2
ORD-02101,01/03/2026,C-0537,Auto Control Remoto,Juguetes,FunTech,Occidente,Web,Tarjeta crédito,2,999,5,1898.1
ORD-02200,01/03/2026,C-0663,Muñeca Adventure,Juguetes,PlayBox,Sureste,Web,PayPal,1,649,0,649
ORD-02209,01/03/2026,C-0567,Licuadora MixPlus,Hogar,HomePlus,Sureste,App,Tarjeta crédito,1,1199,0,1199
ORD-02210,01/03/2026,C-0182,Tenis Runner Pro,Deportes,Move,Occidente,App,Tarjeta crédito,1,1899,10,1709.1
ORD-02263,01/03/2026,C-0161,Audífonos AirBeat,Electrónica,SoundPro,Norte,Marketplace,PayPal,1,1499,10,1349.1
ORD-02301,01/03/2026,C-0097,Licuadora MixPlus,Hogar,HomePlus,Norte,Marketplace,Tarjeta crédito,1,1199,0,1199
ORD-02318,01/03/2026,C-0454,Cafetera HomeBrew,Hogar,HomePlus,Sur,Marketplace,Tarjeta crédito,1,1799,10,1619.1
ORD-02386,01/03/2026,C-0061,Sudadera Essential,Moda,BasicLab,Norte,Web,Tarjeta crédito,1,999,5,949.05
ORD-02476,01/03/2026,C-0122,Muñeca Adventure,Juguetes,PlayBox,Norte,Marketplace,Tarjeta crédito,1,649,0,649
ORD-02496,01/03/2026,C-0228,Smartwatch FitGo,Deportes,FitGo,Centro,Marketplace,Tarjeta débito,2,2299,10,4138.2
ORD-02606,01/03/2026,C-0194,Laptop Nova 14,Electrónica,Nova,Norte,Web,Tarjeta crédito,1,18999,0,18999
ORD-02607,01/03/2026,C-0921,Tenis Casual Street,Moda,Urban Co.,Norte,Web,PayPal,2,1399,0,2798
ORD-02681,01/03/2026,C-0864,Aspiradora CleanPro,Hogar,CleanPro,Sureste,Web,PayPal,2,3299,5,6268.1
ORD-02700,01/03/2026,C-0433,Mochila Training,Deportes,Move,Centro,Marketplace,Tarjeta crédito,1,899,0,899
ORD-02712,01/03/2026,C-0041,Tenis Casual Street,Moda,Urban Co.,Centro,Web,Tarjeta crédito,1,1399,0,1399
ORD-02740,01/03/2026,C-0579,Freidora AirCook,Hogar,KitchenLab,Occidente,Web,PayPal,1,2499,5,2374.05
ORD-02758,01/03/2026,C-0912,Freidora AirCook,Hogar,KitchenLab,Norte,Web,Tarjeta débito,1,2499,5,2374.05
ORD-02788,01/03/2026,C-0835,Tenis Casual Street,Moda,Urban Co.,Norte,Web,Tarjeta crédito,1,1399,0,1399
ORD-02879,01/03/2026,C-0850,Jeans Classic,Moda,Urban Co.,Centro,App,Tarjeta débito,1,899,0,899
ORD-02884,01/03/2026,C-0372,Sudadera Essential,Moda,BasicLab,Sur,Web,Tarjeta débito,2,999,5,1898.1
ORD-02897,01/03/2026,C-0456,Muñeca Adventure,Juguetes,PlayBox,Centro,Web,Tarjeta débito,1,649,0,649
ORD-02899,01/03/2026,C-0307,Freidora AirCook,Hogar,KitchenLab,Occidente,App,Tarjeta crédito,3,2499,10,6747.3
ORD-02935,01/03/2026,C-0390,Smartwatch FitGo,Deportes,FitGo,Centro,Web,Tarjeta débito,1,2299,20,1839.2
ORD-02996,01/03/2026,C-0084,Cafetera HomeBrew,Hogar,HomePlus,Sureste,Web,Transferencia,1,1799,10,1619.1
ORD-02997,01/03/2026,C-0749,Sudadera Essential,Moda,BasicLab,Occidente,App,Tarjeta crédito,3,999,0,2997
ORD-00024,02/03/2026,C-0136,Smartphone X1,Electrónica,Nova,Sur,Web,Tarjeta crédito,1,8999,5,8549.05
ORD-00166,02/03/2026,C-0786,Chamarra Urban,Moda,Urban Co.,Centro,Marketplace,Tarjeta crédito,3,1599,0,4797
ORD-00182,02/03/2026,C-0291,Chamarra Urban,Moda,Urban Co.,Sur,App,Tarjeta crédito,1,1599,0,1599
ORD-00203,02/03/2026,C-0354,Tenis Casual Street,Moda,Urban Co.,Occidente,Marketplace,Tarjeta crédito,2,1399,0,2798
ORD-00286,02/03/2026,C-0427,Mochila Training,Deportes,Move,Sureste,Marketplace,Tarjeta débito,1,899,10,809.1
ORD-00383,02/03/2026,C-0588,Tenis Runner Pro,Deportes,Move,Norte,App,Tarjeta crédito,1,1899,0,1899
ORD-00406,02/03/2026,C-0491,Set Bloques Creativos,Juguetes,PlayBox,Occidente,App,Tarjeta débito,2,799,0,1598
ORD-00427,02/03/2026,C-0385,Sudadera Essential,Moda,BasicLab,Centro,Web,Transferencia,1,999,0,999
ORD-00451,02/03/2026,C-0518,Smartphone X1,Electrónica,Nova,Norte,Marketplace,Tarjeta débito,2,8999,0,17998
ORD-00454,02/03/2026,C-0694,Laptop Nova 14,Electrónica,Nova,Centro,App,Transferencia,1,18999,10,17099.1
ORD-00478,02/03/2026,C-0050,Bicicleta Urban 21,Deportes,Move,Norte,App,PayPal,1,7499,5,7124.05
ORD-00515,02/03/2026,C-0860,Smartphone X1,Electrónica,Nova,Centro,App,Tarjeta crédito,1,8999,0,8999
ORD-00519,02/03/2026,C-0850,Auto Control Remoto,Juguetes,FunTech,Centro,Web,Tarjeta débito,2,999,10,1798.2
ORD-00522,02/03/2026,C-0339,Audífonos AirBeat,Electrónica,SoundPro,Norte,App,Tarjeta crédito,1,1499,5,1424.05
ORD-00528,02/03/2026,C-0554,Tablet Go 10,Electrónica,Nova,Occidente,Web,Transferencia,1,6299,15,5354.15
ORD-00594,02/03/2026,C-0589,Mochila Training,Deportes,Move,Sur,Web,Tarjeta crédito,2,899,15,1528.3
ORD-00652,02/03/2026,C-0308,Laptop Nova 14,Electrónica,Nova,Sureste,App,Tarjeta débito,1,18999,20,15199.2
ORD-00676,02/03/2026,C-0569,Cafetera HomeBrew,Hogar,HomePlus,Occidente,Marketplace,PayPal,1,1799,10,1619.1
ORD-00715,02/03/2026,C-0344,Tenis Runner Pro,Deportes,Move,Occidente,App,Tarjeta débito,1,1899,15,1614.15
ORD-00745,02/03/2026,C-0368,Tenis Casual Street,Moda,Urban Co.,Norte,App,Tarjeta crédito,2,1399,10,2518.2
ORD-00764,02/03/2026,C-0546,Sudadera Essential,Moda,BasicLab,Centro,Web,Tarjeta crédito,2,999,10,1798.2
ORD-00771,02/03/2026,C-0726,Smartwatch FitGo,Deportes,FitGo,Sureste,App,PayPal,1,2299,15,1954.15
ORD-00797,02/03/2026,C-0309,Smartwatch FitGo,Deportes,FitGo,Occidente,App,Tarjeta débito,2,2299,0,4598
ORD-00902,02/03/2026,C-0417,Sudadera Essential,Moda,BasicLab,Sur,Web,Tarjeta débito,2,999,10,1798.2
ORD-00932,02/03/2026,C-0441,Audífonos AirBeat,Electrónica,SoundPro,Sureste,App,Transferencia,1,1499,0,1499
ORD-00935,02/03/2026,C-0917,Smart TV 55,Electrónica,Vision,Centro,Web,Tarjeta crédito,1,11999,10,10799.1
ORD-00936,02/03/2026,C-0738,Muñeca Adventure,Juguetes,PlayBox,Norte,Marketplace,Tarjeta débito,1,649,0,649
ORD-00962,02/03/2026,C-0508,Tenis Casual Street,Moda,Urban Co.,Norte,Web,PayPal,1,1399,0,1399
ORD-01002,02/03/2026,C-0487,Smartphone X1,Electrónica,Nova,Norte,App,Tarjeta débito,2,8999,15,15298.3
ORD-01005,02/03/2026,C-0725,Aspiradora CleanPro,Hogar,CleanPro,Sureste,Marketplace,PayPal,2,3299,5,6268.1
ORD-01012,02/03/2026,C-0328,Chamarra Urban,Moda,Urban Co.,Occidente,Web,Tarjeta crédito,1,1599,0,1599
ORD-01042,02/03/2026,C-0302,Sudadera Essential,Moda,BasicLab,Centro,App,Tarjeta crédito,1,999,5,949.05
ORD-01093,02/03/2026,C-0764,Tablet Go 10,Electrónica,Nova,Norte,Web,Tarjeta débito,1,6299,10,5669.1
ORD-01102,02/03/2026,C-0213,Jeans Classic,Moda,Urban Co.,Norte,Web,Tarjeta crédito,1,899,5,854.05
ORD-01144,02/03/2026,C-0757,Licuadora MixPlus,Hogar,HomePlus,Sureste,App,Tarjeta débito,1,1199,0,1199
ORD-01168,02/03/2026,C-0740,Smart TV 55,Electrónica,Vision,Centro,App,Tarjeta crédito,1,11999,0,11999
ORD-01169,02/03/2026,C-0764,Licuadora MixPlus,Hogar,HomePlus,Centro,Web,Tarjeta crédito,1,1199,5,1139.05
ORD-01179,02/03/2026,C-0591,Tablet Go 10,Electrónica,Nova,Sureste,App,PayPal,1,6299,5,5984.05
ORD-01181,02/03/2026,C-0617,Chamarra Urban,Moda,Urban Co.,Centro,Web,Tarjeta crédito,3,1599,10,4317.3
ORD-01190,02/03/2026,C-0808,Audífonos AirBeat,Electrónica,SoundPro,Centro,Marketplace,Tarjeta crédito,2,1499,0,2998
ORD-01200,02/03/2026,C-0231,Chamarra Urban,Moda,Urban Co.,Occidente,Marketplace,Tarjeta débito,1,1599,15,1359.15
ORD-01218,02/03/2026,C-0437,Audífonos AirBeat,Electrónica,SoundPro,Norte,App,Tarjeta débito,1,1499,20,1199.2
ORD-01271,02/03/2026,C-0618,Licuadora MixPlus,Hogar,HomePlus,Sur,App,Tarjeta crédito,1,1199,0,1199
ORD-01320,02/03/2026,C-0106,Cafetera HomeBrew,Hogar,HomePlus,Centro,Marketplace,Tarjeta débito,1,1799,5,1709.05
ORD-01377,02/03/2026,C-0142,Smartwatch FitGo,Deportes,FitGo,Norte,Web,Tarjeta crédito,1,2299,10,2069.1
ORD-01419,02/03/2026,C-0909,Jeans Classic,Moda,Urban Co.,Norte,Web,Tarjeta crédito,2,899,10,1618.2
ORD-01433,02/03/2026,C-0876,Tenis Runner Pro,Deportes,Move,Centro,App,Tarjeta crédito,1,1899,15,1614.15
ORD-01435,02/03/2026,C-0773,Freidora AirCook,Hogar,KitchenLab,Occidente,Web,PayPal,2,2499,15,4248.3
ORD-01490,02/03/2026,C-0641,Bicicleta Urban 21,Deportes,Move,Centro,Web,Tarjeta débito,1,7499,0,7499
ORD-01533,02/03/2026,C-0756,Bicicleta Urban 21,Deportes,Move,Centro,Marketplace,Tarjeta crédito,1,7499,10,6749.1
ORD-01544,02/03/2026,C-0445,Tenis Casual Street,Moda,Urban Co.,Sureste,App,Tarjeta crédito,4,1399,5,5316.2
ORD-01562,02/03/2026,C-0292,Tenis Runner Pro,Deportes,Move,Centro,Web,Tarjeta crédito,1,1899,5,1804.05
ORD-01621,02/03/2026,C-0203,Set Bloques Creativos,Juguetes,PlayBox,Centro,App,Tarjeta crédito,1,799,0,799
ORD-01638,02/03/2026,C-0138,Smartphone X1,Electrónica,Nova,Occidente,Web,Tarjeta crédito,1,8999,15,7649.15
ORD-01667,02/03/2026,C-0740,Set Bloques Creativos,Juguetes,PlayBox,Sur,Web,Tarjeta crédito,2,799,5,1518.1
ORD-01742,02/03/2026,C-0725,Sudadera Essential,Moda,BasicLab,Norte,Marketplace,Transferencia,2,999,10,1798.2
ORD-01748,02/03/2026,C-0054,Aspiradora CleanPro,Hogar,CleanPro,Occidente,Web,Tarjeta crédito,3,3299,0,9897
ORD-01764,02/03/2026,C-0200,Set Bloques Creativos,Juguetes,PlayBox,Norte,Web,Tarjeta crédito,1,799,0,799
ORD-01768,02/03/2026,C-0578,Laptop Nova 14,Electrónica,Nova,Sur,App,Tarjeta crédito,1,18999,0,18999
ORD-01861,02/03/2026,C-0208,Mochila Training,Deportes,Move,Occidente,Marketplace,PayPal,1,899,10,809.1
ORD-01883,02/03/2026,C-0098,Auto Control Remoto,Juguetes,FunTech,Norte,App,Tarjeta débito,1,999,0,999
ORD-01940,02/03/2026,C-0624,Tenis Runner Pro,Deportes,Move,Norte,Web,Tarjeta débito,1,1899,10,1709.1
ORD-01972,02/03/2026,C-0703,Audífonos AirBeat,Electrónica,SoundPro,Centro,Web,Tarjeta crédito,1,1499,20,1199.2
ORD-01983,02/03/2026,C-0408,Smartphone X1,Electrónica,Nova,Sur,Marketplace,Tarjeta crédito,1,8999,10,8099.1
ORD-02088,02/03/2026,C-0769,Freidora AirCook,Hogar,KitchenLab,Sur,Web,Transferencia,1,2499,0,2499
ORD-02136,02/03/2026,C-0684,Smartwatch FitGo,Deportes,FitGo,Sur,Marketplace,Tarjeta crédito,1,2299,10,2069.1
ORD-02151,02/03/2026,C-0302,Cafetera HomeBrew,Hogar,HomePlus,Sur,Web,Tarjeta débito,2,1799,0,3598
ORD-02223,02/03/2026,C-0737,Smartphone X1,Electrónica,Nova,Norte,App,Tarjeta débito,2,8999,10,16198.2
ORD-02229,02/03/2026,C-0018,Licuadora MixPlus,Hogar,HomePlus,Sur,Marketplace,PayPal,1,1199,10,1079.1
ORD-02238,02/03/2026,C-0255,Smartwatch FitGo,Deportes,FitGo,Norte,App,Tarjeta débito,2,2299,15,3908.3
ORD-02267,02/03/2026,C-0767,Sudadera Essential,Moda,BasicLab,Norte,App,Tarjeta débito,1,999,15,849.15
ORD-02270,02/03/2026,C-0613,Sudadera Essential,Moda,BasicLab,Centro,App,Tarjeta crédito,1,999,5,949.05
ORD-02297,02/03/2026,C-0771,Tablet Go 10,Electrónica,Nova,Sureste,Web,Tarjeta crédito,4,6299,0,25196
ORD-02401,02/03/2026,C-0403,Audífonos AirBeat,Electrónica,SoundPro,Norte,Web,PayPal,1,1499,15,1274.15
ORD-02487,02/03/2026,C-0550,Bicicleta Urban 21,Deportes,Move,Sureste,App,Tarjeta crédito,1,7499,0,7499
ORD-02498,02/03/2026,C-0124,Audífonos AirBeat,Electrónica,SoundPro,Occidente,App,Tarjeta débito,1,1499,0,1499
ORD-02562,02/03/2026,C-0933,Set Bloques Creativos,Juguetes,PlayBox,Centro,App,Tarjeta crédito,2,799,0,1598
ORD-02569,02/03/2026,C-0808,Muñeca Adventure,Juguetes,PlayBox,Norte,App,Tarjeta crédito,1,649,10,584.1
ORD-02605,02/03/2026,C-0724,Mochila Training,Deportes,Move,Centro,Web,Tarjeta crédito,2,899,10,1618.2
ORD-02669,02/03/2026,C-0240,Smartphone X1,Electrónica,Nova,Occidente,App,Tarjeta débito,1,8999,5,8549.05
ORD-02722,02/03/2026,C-0243,Bicicleta Urban 21,Deportes,Move,Sureste,Web,Tarjeta crédito,2,7499,5,14248.1
ORD-02741,02/03/2026,C-0052,Audífonos AirBeat,Electrónica,SoundPro,Norte,App,Tarjeta débito,1,1499,0,1499
ORD-02762,02/03/2026,C-0140,Licuadora MixPlus,Hogar,HomePlus,Occidente,App,Tarjeta crédito,1,1199,0,1199
ORD-02780,02/03/2026,C-0309,Licuadora MixPlus,Hogar,HomePlus,Norte,Marketplace,PayPal,1,1199,0,1199
ORD-02836,02/03/2026,C-0261,Freidora AirCook,Hogar,KitchenLab,Sur,App,PayPal,1,2499,0,2499
ORD-02853,02/03/2026,C-0176,Sudadera Essential,Moda,BasicLab,Centro,Web,Tarjeta crédito,1,999,0,999
ORD-02866,02/03/2026,C-0616,Set Bloques Creativos,Juguetes,PlayBox,Norte,Web,Tarjeta débito,2,799,0,1598
ORD-02896,02/03/2026,C-0731,Tenis Casual Street,Moda,Urban Co.,Norte,Web,Tarjeta crédito,1,1399,0,1399
ORD-02902,02/03/2026,C-0047,Set Bloques Creativos,Juguetes,PlayBox,Norte,App,PayPal,1,799,5,759.05
ORD-02917,02/03/2026,C-0796,Smartphone X1,Electrónica,Nova,Centro,App,Tarjeta débito,1,8999,5,8549.05
ORD-02938,02/03/2026,C-0743,Tablet Go 10,Electrónica,Nova,Occidente,App,Tarjeta débito,1,6299,10,5669.1
ORD-02976,02/03/2026,C-0437,Bicicleta Urban 21,Deportes,Move,Occidente,Web,PayPal,3,7499,0,22497
ORD-00087,03/03/2026,C-0567,Sudadera Essential,Moda,BasicLab,Centro,Web,Tarjeta crédito,1,999,5,949.05
ORD-00103,03/03/2026,C-0784,Cafetera HomeBrew,Hogar,HomePlus,Centro,App,PayPal,1,1799,5,1709.05
ORD-00135,03/03/2026,C-0867,Tenis Runner Pro,Deportes,Move,Centro,Marketplace,PayPal,3,1899,10,5127.3
ORD-00186,03/03/2026,C-0220,Set Bloques Creativos,Juguetes,PlayBox,Occidente,Web,Tarjeta crédito,1,799,0,799
ORD-00200,03/03/2026,C-0248,Smartwatch FitGo,Deportes,FitGo,Centro,Marketplace,Tarjeta débito,1,2299,0,2299
ORD-00213,03/03/2026,C-0032,Muñeca Adventure,Juguetes,PlayBox,Occidente,Web,Tarjeta débito,1,649,10,584.1
ORD-00219,03/03/2026,C-0564,Freidora AirCook,Hogar,KitchenLab,Sur,Marketplace,Transferencia,1,2499,5,2374.05
ORD-00259,03/03/2026,C-0944,Set Bloques Creativos,Juguetes,PlayBox,Occidente,Web,PayPal,1,799,10,719.1
ORD-00310,03/03/2026,C-0554,Licuadora MixPlus,Hogar,HomePlus,Centro,App,Tarjeta débito,1,1199,10,1079.1
ORD-00339,03/03/2026,C-0117,Sudadera Essential,Moda,BasicLab,Occidente,App,Tarjeta débito,1,999,0,999
ORD-00393,03/03/2026,C-0470,Jeans Classic,Moda,Urban Co.,Centro,Web,PayPal,2,899,0,1798
ORD-00394,03/03/2026,C-0064,Auto Control Remoto,Juguetes,FunTech,Occidente,App,Tarjeta débito,1,999,0,999
ORD-00428,03/03/2026,C-0495,Audífonos AirBeat,Electrónica,SoundPro,Occidente,Marketplace,Tarjeta crédito,1,1499,5,1424.05
ORD-00470,03/03/2026,C-0281,Smart TV 55,Electrónica,Vision,Norte,App,Tarjeta crédito,1,11999,5,11399.05
ORD-00543,03/03/2026,C-0339,Bicicleta Urban 21,Deportes,Move,Centro,Web,Tarjeta crédito,1,7499,10,6749.1
ORD-00548,03/03/2026,C-0908,Bicicleta Urban 21,Deportes,Move,Sur,Marketplace,Tarjeta crédito,1,7499,5,7124.05
ORD-00568,03/03/2026,C-0794,Jeans Classic,Moda,Urban Co.,Norte,Web,Tarjeta débito,2,899,10,1618.2
ORD-00590,03/03/2026,C-0322,Tablet Go 10,Electrónica,Nova,Norte,App,Tarjeta crédito,1,6299,5,5984.05
ORD-00706,03/03/2026,C-0881,Licuadora MixPlus,Hogar,HomePlus,Sur,Marketplace,Tarjeta crédito,1,1199,0,1199
ORD-00708,03/03/2026,C-0624,Mochila Training,Deportes,Move,Norte,App,Transferencia,1,899,20,719.2
ORD-00755,03/03/2026,C-0548,Auto Control Remoto,Juguetes,FunTech,Occidente,App,Tarjeta débito,2,999,5,1898.1
ORD-00772,03/03/2026,C-0190,Muñeca Adventure,Juguetes,PlayBox,Sur,Web,Tarjeta débito,1,649,15,551.65
ORD-00788,03/03/2026,C-0047,Tablet Go 10,Electrónica,Nova,Centro,Web,Tarjeta débito,2,6299,0,12598
ORD-00816,03/03/2026,C-0715,Tenis Casual Street,Moda,Urban Co.,Norte,App,Tarjeta débito,2,1399,0,2798
ORD-00824,03/03/2026,C-0283,Set Bloques Creativos,Juguetes,PlayBox,Centro,Marketplace,Tarjeta crédito,1,799,15,679.15
ORD-00860,03/03/2026,C-0442,Tablet Go 10,Electrónica,Nova,Norte,App,Tarjeta crédito,1,6299,0,6299
ORD-00872,03/03/2026,C-0914,Chamarra Urban,Moda,Urban Co.,Centro,Web,Tarjeta débito,2,1599,20,2558.4
ORD-00873,03/03/2026,C-0239,Auto Control Remoto,Juguetes,FunTech,Norte,Web,Tarjeta crédito,1,999,10,899.1
